Accession 	Parent Location 	Collected Location 	Method 	Order	Gene attempts	28S attempt	COI attempt	LCA order, if available	Combined order
NZAC03009203	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	28S only	28S		Lepidoptera	Lepidoptera
NZAC03009207	Plot 1 	Subplot L 	Leaf Litter Collection 	Hymenoptera	28S only	28S		Hymenoptera	Hymenoptera
NZAC03009213	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	28S only	28S		Lepidoptera	Lepidoptera
NZAC03009215	CM30c30 	Subplot N 	Invertebrate Pitfall Trap 	Amphipoda	Both	28S	COI		Amphipoda
NZAC03009219	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	28S only	28S			Lepidoptera
NZAC03009221	Plot 1 	Subplot L 	Leaf Litter Collection 	Lepidoptera	28S only	28S		Lepidoptera	Lepidoptera
NZAC03009225	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI		Coleoptera
NZAC03009226	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009227	CM30c30 	Subplot I 	Invertebrate Pitfall Trap 	Araneae	Both	28S	COI	Araneae	Araneae
NZAC03009228	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009229	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Diptera	Both	28S	COI	Diptera	Diptera
NZAC03009230	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Isopoda	Both	28S	COI	Isopoda	Isopoda
NZAC03009231	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Hymenoptera	Both	28S	COI	Hymenoptera	Hymenoptera
NZAC03009232	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
NZAC03009233	LB1 	Subplot L 	Invertebrate Pitfall Trap 	Coleoptera	Both	28S	COI	Coleoptera	Coleoptera
